Name,Varietal,Region,Price,Dosage,Online_Rating,Total_Ratings,sommelier_ratings
Domaine Bruno Clavelier Nuits-St-Georges Aux Cras Vieilles Vignes Premier Cru 2015,Pinot Noir,"Nuits-St-Georges, Cote de Nuits, Cote d'Or, Burgundy, France",165 97,750 ML,0.0,0 Ratings,
Domaine de la Bergerie Cremant de Loire Brut 2017,Vintage Sparkling Wine,"Loire, France",27 99,750 ML,0.0,0 Ratings,
Maison L'Envoye Moulin-a-Vent 2019,Gamay,"Beaujolais, Burgundy, France",18 99,750 ML,0.0,0 Ratings,
Mending Wall Tournahu Vineyard Cabernet Sauvignon 2017,Cabernet Sauvignon,"St. Helena, Napa Valley, California",124 99,750 ML,0.0,0 Ratings,JD 96
Domaine Perrot-Minot Nuits-Saint-Georges La Richemone Premier Cru Vignes Centenaires 2012,Pinot Noir,"Nuits-St-Georges, Cote de Nuits, Cote d'Or, Burgundy, France",299 97,750 ML,0.0,0 Ratings,BH 93
Fonseca Bin No. 27 Port,Port,Portugal,21,750 ML,4.2,444 Ratings,W & S 92 TP 91 D 91 WS 90
Vasse Felix Filius Cabernet Sauvignon 2019,Cabernet Sauvignon,"Margaret River, Western Australia, Australia",28,750 ML,3.7,154 Ratings,JH 95 JS 94 WS 92
Don Rodolfo Cabernet Sauvignon 2019,Cabernet Sauvignon,"Mendoza, Argentina",12 99,750 ML,4.1,12 Ratings,
Ramey Claret 2017,Bordeaux Red Blends,"North Coast, California",42,750 ML,4.0,27 Ratings,RP 92
Chester-Kidder 2017,Other Red Blends,"Columbia Valley, Washington",64 99,750 ML,0.0,0 Ratings,V 92
Le Vieux Donjon Chateauneuf-du-Pape Blanc 2020,Rhone White Blends,"Chateauneuf-du-Pape, Rhone, France",74 99,750 ML,0.0,0 Ratings,WS 93 JD 91
Famiglia Bianchi Cabernet Sauvignon 2019,Cabernet Sauvignon,"Mendoza, Argentina",22 99,750 ML,0.0,0 Ratings,
The Donum Estate Year of the Ram Single Vineyard Carneros Chardonnay 2015,Chardonnay,"Carneros, California",60,750 ML,0.0,0 Ratings,RP 91 WE 91
Duboeuf Merlot 2019,Merlot,"Pays d’Oc, South of France, France",14 99,750 ML,0.0,0 Ratings,
Leone de Castris Salice Salentino Riserva 2016,Negroamaro,"Puglia, Italy",21 99,750 ML,4.0,41 Ratings,JS 91
Boroli Barolo 2013,Nebbiolo,"Barolo, Piedmont, Italy",78,750 ML,0.0,0 Ratings,JS 92 WS 92
